# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_MRBM_1
#Generated on Thu Jan 14 13:24:41 2010
#loft_angle burn_time ground_range time_of_flight
88.3500 91.0000 264174.25 340.8211
88.3500 91.0200 264506.22 340.9626
88.3500 91.0400 264838.55 341.1042
88.3500 91.0600 265164.00 341.2458
88.3500 91.0800 265497.02 341.3875
88.3500 91.1000 265830.41 341.5293
88.3500 91.1200 266164.14 341.6711
88.3500 91.1400 266498.23 341.8130
88.3500 91.1600 266832.67 341.9550
88.3500 91.1800 267160.30 342.0968
88.3500 91.2000 267495.45 342.2389
88.3500 91.2200 267830.96 342.3811
88.3500 91.2400 268166.83 342.5233
88.3500 91.2600 268503.05 342.6656
88.3500 91.2800 268839.63 342.8080
88.3500 91.3000 269176.57 342.9504
88.3500 91.3200 269506.60 343.0929
88.3500 91.3400 269844.25 343.2354
88.3500 91.3600 270182.25 343.3781
88.3500 91.3800 270520.62 343.5207
88.3500 91.4000 270859.34 343.6635
88.3500 91.4200 271198.42 343.8063
88.3500 91.4400 271530.59 343.9492
88.3500 91.4600 271870.39 344.0922
88.3500 91.4800 272210.55 344.2352
88.3500 91.5000 272551.07 344.3783
88.3500 91.5200 272891.95 344.5214
88.3500 91.5400 273233.20 344.6646
88.3500 91.5600 273574.80 344.8079
88.3500 91.5800 273916.77 344.9513
88.3500 91.6000 274253.11 345.0948
88.3500 91.6200 274596.73 345.2384
88.3500 91.6400 274940.42 345.3820
88.3500 91.6600 275284.34 345.5257
88.3500 91.6800 275628.55 345.6694
88.3500 91.7000 275973.08 345.8132
88.3500 91.7200 276317.92 345.9570
88.3500 91.7400 276663.11 346.1010
88.3500 91.7600 277001.31 346.2449
88.3500 91.7800 277347.17 346.3890
88.3500 91.8000 277693.38 346.5331
88.3500 91.8200 278039.95 346.6773
88.3500 91.8400 278386.86 346.8215
88.3500 91.8600 278734.14 346.9659
88.3500 91.8800 279081.78 347.1102
88.3500 91.9000 279429.78 347.2547
88.3500 91.9200 279770.80 347.3992
88.3500 91.9400 280119.52 347.5438
88.3500 91.9600 280468.61 347.6885
88.3500 91.9800 280818.06 347.8332
88.3500 92.0000 281167.88 347.9780
88.3500 92.0200 281518.07 348.1229
88.3500 92.0400 281868.63 348.2678
88.3500 92.0600 282219.56 348.4128
88.3500 92.0800 282570.85 348.5579
88.3500 92.1000 282922.52 348.7030
88.3500 92.1200 283267.19 348.8483
88.3500 92.1400 283619.60 348.9935
88.3500 92.1600 283972.38 349.1389
88.3500 92.1800 284325.53 349.2843
88.3500 92.2000 284679.06 349.4298
88.3500 92.2200 285032.96 349.5754
88.3500 92.2400 285387.23 349.7210
88.3500 92.2600 285741.89 349.8667
88.3500 92.2800 286096.91 350.0125
88.3500 92.3000 286452.31 350.1583
88.3500 92.3200 286808.09 350.3043
88.3500 92.3400 287164.25 350.4502
88.3500 92.3600 287513.39 350.5963
88.3500 92.3800 287870.30 350.7424
88.3500 92.4000 288227.59 350.8886
88.3500 92.4200 288585.25 351.0349
88.3500 92.4400 288943.30 351.1812
88.3500 92.4600 289301.73 351.3276
88.3500 92.4800 289660.54 351.4741
88.3500 92.5000 290019.73 351.6207
88.3500 92.5200 290379.30 351.7673
88.3500 92.5400 290739.26 351.9140
88.3500 92.5600 291099.59 352.0608
88.3500 92.5800 291460.31 352.2076
88.3500 92.6000 291821.41 352.3545
88.3500 92.6200 292182.90 352.5015
88.3500 92.6400 292537.33 352.6485
88.3500 92.6600 292899.59 352.7957
88.3500 92.6800 293262.22 352.9428
88.3500 92.7000 293625.25 353.0901
88.3500 92.7200 293988.66 353.2374
88.3500 92.7400 294352.45 353.3849
88.3500 92.7600 294716.63 353.5323
88.3500 92.7800 295081.20 353.6799
88.3500 92.8000 295446.16 353.8275
88.3500 92.8200 295811.51 353.9752
88.3500 92.8400 296177.24 354.1230
88.3500 92.8600 296543.37 354.2708
88.3500 92.8800 296909.88 354.4187
88.3500 92.9000 297276.79 354.5667
88.3500 92.9200 297644.09 354.7148
88.3500 92.9400 298011.79 354.8629
88.3500 92.9600 298379.89 355.0111
88.3500 92.9800 298748.38 355.1594
88.3500 93.0000 299117.26 355.3078
88.3500 93.0200 299486.54 355.4562
88.3500 93.0400 299856.15 355.6049
88.3500 93.0600 300226.22 355.7535
88.3500 93.0800 300596.70 355.9022
88.3500 93.1000 300967.57 356.0509
88.3500 93.1200 301331.34 356.1997
88.3500 93.1400 301703.01 356.3486
88.3500 93.1600 302075.07 356.4975
88.3500 93.1800 302447.54 356.6466
88.3500 93.2000 302820.41 356.7957
88.3500 93.2200 303193.67 356.9449
88.3500 93.2400 303567.34 357.0941
88.3500 93.2600 303941.42 357.2434
88.3500 93.2800 304315.89 357.3928
88.3500 93.3000 304690.76 357.5423
